,Strain,Type,Effects,Flavor,Description,name,ailment,all_text,lemmas
1535,Petrolia-Headstash,indica,"Relaxed,Euphoric,Uplifted,Happy,Aroused","Pungent,Violet,Woody","The coveted Petrolia Headstash by Reeferman Seeds originates from Afghanistan by way of Humbolt County. Its pungent, compact buds have a hashy taste with flavors of pine, wood, and earth. The heavy indica effects will leave many feeling drowsy and relaxed which can help suppress symptoms like cramps, pain, and elevated stress levels. A thick coating of trichomes makes it great for producing hash and other concentrates. Decades of inbreeding have made this strain extremely hearty and ideal for breeding purposes, and Petrolia Headstash's genetics can be found in other indica powerhouses like Herijuana.",,,"Petrolia-Headstash indica Relaxed,Euphoric,Uplifted,Happy,Aroused Pungent,Violet,Woody The coveted Petrolia Headstash by Reeferman Seeds originates from Afghanistan by way of Humbolt County. Its pungent, compact buds have a hashy taste with flavors of pine, wood, and earth. The heavy indica effects will leave many feeling drowsy and relaxed which can help suppress symptoms like cramps, pain, and elevated stress levels. A thick coating of trichomes makes it great for producing hash and other concentrates. Decades of inbreeding have made this strain extremely hearty and ideal for breeding purposes, and Petrolia Headstash's genetics can be found in other indica powerhouses like Herijuana.  ",Petrolia Headstash indica Relaxed Euphoric Uplifted Happy arouse pungent Violet Woody coveted Petrolia Headstash Reeferman Seeds originate Afghanistan way Humbolt County pungent compact bud hashy taste flavor pine wood earth heavy indica effect leave feeling drowsy relaxed help suppress symptom like cramp pain elevated stress level thick coating trichome make great produce hash concentrate decade inbreeding strain extremely hearty ideal breed    purpose Petrolia Headstash genetic find indica powerhouse like Herijuana  
1536,Peyote-Cookies,indica,"Happy,Euphoric,Creative,Relaxed,Hungry","Sweet,Nutty,Coffee","Peyote Cookies by Barney’s Farm was created by crossing Peyote Purple and Barney’s famous Cookies Kush. It was developed through a detailed selection and back-crossing process that helped isolate the very best qualities of both parent strains, resulting in a vigorous hybrid flower that is easy to grow and pleasurable to consume. The flowering plant displays a dazzling ruby red and purple complexion coupled with delicious flavors of guava, vanilla, coffee, and earth. This strain is also mold and mildew-resistant and grows superbly indoors or outdoors. ",,,"Peyote-Cookies indica Happy,Euphoric,Creative,Relaxed,Hungry Sweet,Nutty,Coffee Peyote Cookies by Barney’s Farm was created by crossing Peyote Purple and Barney’s famous Cookies Kush. It was developed through a detailed selection and back-crossing process that helped isolate the very best qualities of both parent strains, resulting in a vigorous hybrid flower that is easy to grow and pleasurable to consume. The flowering plant displays a dazzling ruby red and purple complexion coupled with delicious flavors of guava, vanilla, coffee, and earth. This strain is also mold and mildew-resistant and grows superbly indoors or outdoors.   ",Peyote Cookies indica Happy euphoric Creative relaxed Hungry Sweet Nutty Coffee Peyote Cookies Barney ’s Farm create cross Peyote Purple Barney ’s famous Cookies Kush develop detailed selection crossing process help isolate good quality parent strain result vigorous hybrid flower easy grow pleasurable consume flower plant display dazzling ruby red purple complexion couple delicious flavor guava vanilla coffee earth strain mold mildew resistant grow superbly indoors outdoors    
1537,Pez,indica,"Euphoric,Sleepy,Giggly,Relaxed,Energetic","Pine,Sweet,Earthy","Pez is an indica daughter of Afghani and Pakistani strains. These sweet, frosty buds offer the relaxation and pain management typical of indicas without the drowsiness, making it great for daytime use. ",Pez,"Pain, Inflammation, Stress, Insomnia, Depression","Pez indica Euphoric,Sleepy,Giggly,Relaxed,Energetic Pine,Sweet,Earthy Pez is an indica daughter of Afghani and Pakistani strains. These sweet, frosty buds offer the relaxation and pain management typical of indicas without the drowsiness, making it great for daytime use.  Pez Pain, Inflammation, Stress, Insomnia, Depression",Pez indica Euphoric sleepy giggly relaxed Energetic Pine Sweet Earthy Pez indica daughter afghani pakistani strain sweet frosty bud offer relaxation pain management typical indica drowsiness make great daytime use    Pez Pain inflammation stress Insomnia Depression
1538,Phantom-Arrow,indica,"Happy,Relaxed,Tingly,Euphoric,Focused","Tree,Fruit,Menthol,Flowery","Phantom Arrow by Cereal Killer Genetics is another smelly treat from Shaman Stinky Steve. This indica-dominant cross of Purple Arrow and Phantom Kush is a powerful medicine for consumers suffering from anxiety, migraines, and chronic pain. Phantom Arrow’s stoney body effects settle behind the eyes and the forehead while seeping into the extremities as a subtle, calming warmth. The bouquet is a delicate arrangement of champagne, eucalyptus, cherry, and floral undertones that coat the palate on the exhale.",,,"Phantom-Arrow indica Happy,Relaxed,Tingly,Euphoric,Focused Tree,Fruit,Menthol,Flowery Phantom Arrow by Cereal Killer Genetics is another smelly treat from Shaman Stinky Steve. This indica-dominant cross of Purple Arrow and Phantom Kush is a powerful medicine for consumers suffering from anxiety, migraines, and chronic pain. Phantom Arrow’s stoney body effects settle behind the eyes and the forehead while seeping into the extremities as a subtle, calming warmth. The bouquet is a delicate arrangement of champagne, eucalyptus, cherry, and floral undertones that coat the palate on the exhale.  ",Phantom Arrow indica Happy Relaxed Tingly Euphoric Focused Tree Fruit Menthol Flowery Phantom Arrow Cereal Killer Genetics smelly treat Shaman Stinky Steve indica dominant cross Purple Arrow Phantom Kush powerful medicine consumer suffer anxiety migraine chronic pain Phantom Arrow ’s stoney body effect settle eye forehead seep extremity subtle calm warmth bouquet delicate arrangement champagne eucalyptus cherry floral undertone coat palate exhale  
1539,Phantom-Cookies,hybrid,"Happy,Relaxed,Uplifted,Creative,Energetic","Berry,Grape,Mango","Phantom Cookies is a sativa-dominant hybrid from Northern California that crosses a flavorful Cherry Pie with the resin-heavy Granddaddy Purple. Green and purple hues weave through the buds beneath a crystalline layer of trichomes, from which sprout Phantom Cookies’ electric orange hairs. Its aroma is an intricate blend of earthiness and roasted nuts, accented by sweeter notes of grape and berry. Next comes this hybrid’s crushing euphoria which shakes the mind awake with creativity and happiness. Increase the dose and the brain and body will be overcome with a relaxing haze that dulls nausea, stress, and pain while sharpening the appetite. Phantom Cookies will be ready to harvest outdoors at the beginning of October, but indoor growers will wait 8 to 9 weeks for buds to finish flowering.",,,"Phantom-Cookies hybrid Happy,Relaxed,Uplifted,Creative,Energetic Berry,Grape,Mango Phantom Cookies is a sativa-dominant hybrid from Northern California that crosses a flavorful Cherry Pie with the resin-heavy Granddaddy Purple. Green and purple hues weave through the buds beneath a crystalline layer of trichomes, from which sprout Phantom Cookies’ electric orange hairs. Its aroma is an intricate blend of earthiness and roasted nuts, accented by sweeter notes of grape and berry. Next comes this hybrid’s crushing euphoria which shakes the mind awake with creativity and happiness. Increase the dose and the brain and body will be overcome with a relaxing haze that dulls nausea, stress, and pain while sharpening the appetite. Phantom Cookies will be ready to harvest outdoors at the beginning of October, but indoor growers will wait 8 to 9 weeks for buds to finish flowering.  ",Phantom Cookies hybrid Happy Relaxed Uplifted creative Energetic Berry Grape Mango Phantom Cookies sativa dominant hybrid Northern California cross flavorful Cherry Pie resin heavy Granddaddy Purple green purple hue weave bud beneath crystalline layer trichome sprout Phantom Cookies electric orange hair aroma intricate blend earthiness roasted nut accent sweet note grape berry come hybrid ’s crushing euphoria shake mind awake creativity happiness increase dose brain body overcome relax haze dull nausea stress pain sharpen appetite Phantom Cookies ready harvest outdoors beginning October indoor grower wait 8 9 week bud finish flower  
1540,Phantom-Og,indica,"Relaxed,Sleepy,Euphoric,Happy,Focused","Pungent,Earthy,Sweet","Phantom OG is an indica-dominant strain that begins with heightened energy and ends with a crash of full-body relaxation. Beyond its OG Kush genes, Phantom OG’s lineage is largely unknown, although many claim it’s related to the “Planetary Kush” series which includes Earth OG, Jupiter OG, Mars OG, and others. Its aroma is a rich combination of pine and lemon accented by a subtle menthol flavor. The initial euphoric jolt launches you into a happy, dreamy state of mind with fits of giggles and fixated concentration. Over time, you may notice some mental jamming, absent-mindedness, and impending sleepiness. Phantom OG is a great choice for patients treating insomnia, and others have reported its success in pain, appetite loss, and arthritis.",,,"Phantom-Og indica Relaxed,Sleepy,Euphoric,Happy,Focused Pungent,Earthy,Sweet Phantom OG is an indica-dominant strain that begins with heightened energy and ends with a crash of full-body relaxation. Beyond its OG Kush genes, Phantom OG’s lineage is largely unknown, although many claim it’s related to the “Planetary Kush” series which includes Earth OG, Jupiter OG, Mars OG, and others. Its aroma is a rich combination of pine and lemon accented by a subtle menthol flavor. The initial euphoric jolt launches you into a happy, dreamy state of mind with fits of giggles and fixated concentration. Over time, you may notice some mental jamming, absent-mindedness, and impending sleepiness. Phantom OG is a great choice for patients treating insomnia, and others have reported its success in pain, appetite loss, and arthritis.  ",Phantom Og indica Relaxed sleepy Euphoric happy Focused Pungent earthy Sweet Phantom OG indica dominant strain begin heighten energy end crash body relaxation OG Kush gene Phantom OG ’s lineage largely unknown claim ’ related planetary Kush series include Earth OG Jupiter OG Mars OG aroma rich combination pine lemon accent subtle menthol flavor initial euphoric jolt launch happy dreamy state mind fit giggle fixated concentration time notice mental jamming absent mindedness impend sleepiness Phantom OG great choice patient treat insomnia report success pain appetite loss arthritis  
1541,Phatt-Frutty,indica,"Uplifted,Happy,Relaxed,Talkative,Creative","Lemon,Spicy/Herbal,Lime","Phatt Frutty by Barney’s Farm is a mixture of cannabis’ classic geographic regions. Combining the attributes of Afghani, North Indian, and Mexican, Barney’s Farm captures telltale aromas and flavors from across the globe in this one strain. Emitting an earthy, hashy aroma, Phatt Frutty’s plant grow tight and squat. These plants are also mold resistant, making them suitable for indoor and outdoor growing. ",,,"Phatt-Frutty indica Uplifted,Happy,Relaxed,Talkative,Creative Lemon,Spicy/Herbal,Lime Phatt Frutty by Barney’s Farm is a mixture of cannabis’ classic geographic regions. Combining the attributes of Afghani, North Indian, and Mexican, Barney’s Farm captures telltale aromas and flavors from across the globe in this one strain. Emitting an earthy, hashy aroma, Phatt Frutty’s plant grow tight and squat. These plants are also mold resistant, making them suitable for indoor and outdoor growing.   ",Phatt Frutty indica Uplifted happy relaxed talkative Creative Lemon Spicy Herbal Lime Phatt Frutty Barney ’s Farm mixture cannabis classic geographic region combine attribute afghani North Indian Mexican Barney ’s Farm capture telltale aroma flavor globe strain emit earthy hashy aroma Phatt Frutty ’s plant grow tight squat plant mold resistant make suitable indoor outdoor growing    
1542,Phishhead-Kush,indica,"Giggly,Happy,Talkative,Tingly,Uplifted","Sweet,Berry","Phishhead Kush, named in homage to the American rock band, is an indica strain that was passed down from an older grower to the cultivators at The Clinic in Colorado. This heavy-handed strain descends from age-old Afghani indicas and inherits a spicy, woody aroma that comes to life when ground up. Heavy hypnotic effects lead the way, leaving both mind and body feeling blissfully pacified. ",,,"Phishhead-Kush indica Giggly,Happy,Talkative,Tingly,Uplifted Sweet,Berry Phishhead Kush, named in homage to the American rock band, is an indica strain that was passed down from an older grower to the cultivators at The Clinic in Colorado. This heavy-handed strain descends from age-old Afghani indicas and inherits a spicy, woody aroma that comes to life when ground up. Heavy hypnotic effects lead the way, leaving both mind and body feeling blissfully pacified.   ",Phishhead Kush indica Giggly happy talkative Tingly Uplifted Sweet Berry Phishhead Kush name homage american rock band indica strain pass old grower cultivator Clinic Colorado heavy handed strain descend age old afghani indica inherit spicy woody aroma come life ground heavy hypnotic effect lead way leave mind body feel blissfully pacify    
1543,Pie-Face-Og,hybrid,"Relaxed,Euphoric,Giggly,Happy,Tingly","Earthy,Sweet,Tropical","Pie Face OG is what you get when you cross Cherry Pie with Face Off OG, a creation from Archive Seed Bank. This 60/40 indica-dominant strain carries a sweet cherry and earthy hash flavor, taking after both sides of the family. Though potently euphoric, Pie Face OG’s effects leave enough mental clarity for you to stay functional and engaged throughout the day’s tasks. This hybrid is ideal for social afternoons, unwinding after a stressful day, or kick-starting the appetite.",,,"Pie-Face-Og hybrid Relaxed,Euphoric,Giggly,Happy,Tingly Earthy,Sweet,Tropical Pie Face OG is what you get when you cross Cherry Pie with Face Off OG, a creation from Archive Seed Bank. This 60/40 indica-dominant strain carries a sweet cherry and earthy hash flavor, taking after both sides of the family. Though potently euphoric, Pie Face OG’s effects leave enough mental clarity for you to stay functional and engaged throughout the day’s tasks. This hybrid is ideal for social afternoons, unwinding after a stressful day, or kick-starting the appetite.  ",pie Face Og hybrid Relaxed euphoric giggly happy Tingly earthy Sweet Tropical Pie Face OG cross Cherry Pie Face OG creation Archive Seed Bank 60/40 indica dominant strain carry sweet cherry earthy hash flavor take side family potently euphoric Pie Face OG ’s effect leave mental clarity stay functional engage day ’s task hybrid ideal social afternoon unwind stressful day kick start appetite  
1544,Pine-Cone,hybrid,"Creative,Uplifted,Energetic,Euphoric,Focused","Pine,Earthy,Woody","Pine Cone by Glen’s Plant Farm is the hybrid cross of Blue Tahoe and Cinex. This combination develops a strong forest aroma and tight resinous nuggets that explode with earthy flavor upon vaporization or combustion. Cinex elevates the weighted haze of Blue Tahoe, balancing soothing body effects against clear-headed stimulation. Utilize Pine Cone to abate stress, spur creativity, and relax the body.    ",,,"Pine-Cone hybrid Creative,Uplifted,Energetic,Euphoric,Focused Pine,Earthy,Woody Pine Cone by Glen’s Plant Farm is the hybrid cross of Blue Tahoe and Cinex. This combination develops a strong forest aroma and tight resinous nuggets that explode with earthy flavor upon vaporization or combustion. Cinex elevates the weighted haze of Blue Tahoe, balancing soothing body effects against clear-headed stimulation. Utilize Pine Cone to abate stress, spur creativity, and relax the body.      ",Pine Cone hybrid Creative uplifted energetic Euphoric Focused Pine Earthy Woody Pine Cone Glen ’s Plant Farm hybrid cross Blue Tahoe Cinex combination develop strong forest aroma tight resinous nugget explode earthy flavor vaporization combustion Cinex elevate weighted haze Blue Tahoe balance soothe body effect clear headed stimulation utilize Pine Cone abate stress spur creativity relax body      
1545,Pine-Queen-Dream,hybrid,"Aroused,Uplifted,Euphoric,Focused,Happy","Earthy,Woody,Pine","Pine Queen Dream by Piranha Seeds is a deep cannabis cut combining esoteric genetics with familiar favorites. Created from Pine Queen Haze (a cross of Pursuang Haze and Pine Queen) and Blue Dream, this sativa-dominant hybrid offers consumers a potent cerebral high alongside a rich pine aroma. The flavor is also woodsy and herbal, with notes of spice from the strain’s latent Haze genetics. Its uplifting mental effects can help improve mood and nullify stress while the physical effects remain potent and persistent with continued consumption. This strain was produced for and is grown by Green Acres Pharm.  ",,,"Pine-Queen-Dream hybrid Aroused,Uplifted,Euphoric,Focused,Happy Earthy,Woody,Pine Pine Queen Dream by Piranha Seeds is a deep cannabis cut combining esoteric genetics with familiar favorites. Created from Pine Queen Haze (a cross of Pursuang Haze and Pine Queen) and Blue Dream, this sativa-dominant hybrid offers consumers a potent cerebral high alongside a rich pine aroma. The flavor is also woodsy and herbal, with notes of spice from the strain’s latent Haze genetics. Its uplifting mental effects can help improve mood and nullify stress while the physical effects remain potent and persistent with continued consumption. This strain was produced for and is grown by Green Acres Pharm.    ",pine Queen dream hybrid arouse Uplifted Euphoric Focused Happy Earthy woody Pine Pine Queen Dream Piranha Seeds deep cannabis cut combine esoteric genetic familiar favorite create Pine Queen Haze cross Pursuang Haze Pine Queen Blue Dream sativa dominant hybrid offer consumer potent cerebral high alongside rich pine aroma flavor woodsy herbal note spice strain ’s latent Haze genetic uplifting mental effect help improve mood nullify stress physical effect remain potent persistent continue consumption strain produce grow Green Acres Pharm    
1546,Pine-Tar-Kush,indica,"Relaxed,Happy,Uplifted,Euphoric,Hungry","Pine,Woody,Earthy",Pine Tar Kush stems from a family of pure indica genetics native to Pakistan. This cannabis strain is nearly unaltered from its original genetic form and expresses itself with bright green hues and a skunky aroma. The rich Kush flavor of pine mixes with sweet undertones that give way to Pine Tar Kush’s calming yet talkative buzz.,,,"Pine-Tar-Kush indica Relaxed,Happy,Uplifted,Euphoric,Hungry Pine,Woody,Earthy Pine Tar Kush stems from a family of pure indica genetics native to Pakistan. This cannabis strain is nearly unaltered from its original genetic form and expresses itself with bright green hues and a skunky aroma. The rich Kush flavor of pine mixes with sweet undertones that give way to Pine Tar Kush’s calming yet talkative buzz.  ",Pine Tar Kush indica Relaxed happy Uplifted euphoric Hungry Pine Woody Earthy Pine Tar Kush stem family pure indica genetic native Pakistan cannabis strain nearly unaltered original genetic form express bright green hue skunky aroma rich Kush flavor pine mix sweet undertone way Pine Tar Kush ’s calm talkative buzz  
1547,Pineapple,hybrid,"Happy,Uplifted,Euphoric,Relaxed,Energetic","Pineapple,Tropical,Sweet","Pineapple was developed by selecting a phenotype of Ed Rosenthal’s Super Bud (ERSB) that expressed predominantly indica traits and had intense tropical flavors. After generations of inbreeding, the strain developed a sturdy structure and more pronounced flavors of pineapple and diesel. The buds take on a bulbous shape that, in a way, resemble the fruit. A perfect strain for stress relief, Pineapple will transport you to your happy place, leaving you uplifted and relaxed.",,,"Pineapple hybrid Happy,Uplifted,Euphoric,Relaxed,Energetic Pineapple,Tropical,Sweet Pineapple was developed by selecting a phenotype of Ed Rosenthal’s Super Bud (ERSB) that expressed predominantly indica traits and had intense tropical flavors. After generations of inbreeding, the strain developed a sturdy structure and more pronounced flavors of pineapple and diesel. The buds take on a bulbous shape that, in a way, resemble the fruit. A perfect strain for stress relief, Pineapple will transport you to your happy place, leaving you uplifted and relaxed.  ",pineapple hybrid Happy Uplifted Euphoric relaxed Energetic Pineapple Tropical Sweet Pineapple develop select phenotype Ed Rosenthal ’s Super Bud ERSB express predominantly indica trait intense tropical flavor generation inbreeding strain develop sturdy structure pronounced flavor pineapple diesel bud bulbous shape way resemble fruit perfect strain stress relief Pineapple transport happy place leave uplifted relaxed  
1548,Pineapple-Calyx,hybrid,None,None,"Pineapple Calyx from Calyx Garden is a hybrid cross of OG and Cookies genetics, specifically Pineapple OG and Pineapple Cookies, a Calyx Garden original. Naturally this strain is tropical on the nose with underlying notes of sour citrus and earth. It reaches almost 2% in terpene testing, over half of which is myrcene, a terpene known for its mellowing effects and herbaceous aroma. Enjoy Pineapple Calyx to help nullify stress and combat depression. This strain’s euphoric buzz and overall mood elevation make it a solid choice for social situations and long days of activity.  ",,,"Pineapple-Calyx hybrid None None Pineapple Calyx from Calyx Garden is a hybrid cross of OG and Cookies genetics, specifically Pineapple OG and Pineapple Cookies, a Calyx Garden original. Naturally this strain is tropical on the nose with underlying notes of sour citrus and earth. It reaches almost 2% in terpene testing, over half of which is myrcene, a terpene known for its mellowing effects and herbaceous aroma. Enjoy Pineapple Calyx to help nullify stress and combat depression. This strain’s euphoric buzz and overall mood elevation make it a solid choice for social situations and long days of activity.    ",Pineapple Calyx hybrid Pineapple Calyx Calyx Garden hybrid cross OG Cookies genetic specifically Pineapple OG Pineapple Cookies Calyx Garden original naturally strain tropical nose underlying note sour citrus earth reach 2 terpene testing half myrcene terpene know mellow effect herbaceous aroma enjoy Pineapple Calyx help nullify stress combat depression strain ’s euphoric buzz overall mood elevation solid choice social situation long day activity     
1549,Pineapple-Chunk,hybrid,"Relaxed,Happy,Hungry,Euphoric,Uplifted","Pineapple,Tropical,Skunk","Pineapple Chunk, bred by Barney’s Farm, is an indica-leaning hybrid that induces heavy full-body effects and a fast-paced head buzz. This THC-rich strain combines a Cheese and Skunk #1 cross with Barney’s Pineapple, and you can almost smell its lineage through sour notes of tangy skunk, earthy cheese, and sweet pineapple. Optimally, Pineapple Chunk will deliver a small dose of CBD with its crushing THC content, resulting in powerful painkilling and stress-relieving properties. Some report a racing jolt of cerebral energy with Pineapple Chunk, so this may not be the best strain for treating sleeplessness or anxiety. Pineapple Chunk plants are resistant to mold and disease, and flower in 55 days indoors. ",,,"Pineapple-Chunk hybrid Relaxed,Happy,Hungry,Euphoric,Uplifted Pineapple,Tropical,Skunk Pineapple Chunk, bred by Barney’s Farm, is an indica-leaning hybrid that induces heavy full-body effects and a fast-paced head buzz. This THC-rich strain combines a Cheese and Skunk #1 cross with Barney’s Pineapple, and you can almost smell its lineage through sour notes of tangy skunk, earthy cheese, and sweet pineapple. Optimally, Pineapple Chunk will deliver a small dose of CBD with its crushing THC content, resulting in powerful painkilling and stress-relieving properties. Some report a racing jolt of cerebral energy with Pineapple Chunk, so this may not be the best strain for treating sleeplessness or anxiety. Pineapple Chunk plants are resistant to mold and disease, and flower in 55 days indoors.   ",Pineapple Chunk hybrid Relaxed happy hungry Euphoric Uplifted Pineapple Tropical Skunk Pineapple Chunk breed Barney ’s Farm indica lean hybrid induce heavy body effect fast pace head buzz THC rich strain combine Cheese skunk 1 cross Barney ’s Pineapple smell lineage sour note tangy skunk earthy cheese sweet pineapple optimally Pineapple Chunk deliver small dose CBD crush THC content result powerful painkilling stress relieve property report racing jolt cerebral energy Pineapple Chunk good strain treat sleeplessness anxiety Pineapple Chunk plant resistant mold disease flower 55 day indoors    
1550,Pineapple-Cookies,hybrid,"Talkative,Energetic,Euphoric,Happy,Uplifted","Pineapple,Sweet,Flowery","Pineapple Cookies by Calyx Gardens is an introspective Platinum Girl Scout Cookies cross with flavor to spare. It was created by breeding the Calyx Garden Pineapple OG Kush father (Poison OG x Purple Pineapple) with the long-lasting body-melter Platinum GSC. Relaxation and happiness creep across the body, gradually dissolving stress and depression as the consumer’s mood elevates. This strain's aroma is bright and buttery, exhibiting sweet notes from both its parents.",,,"Pineapple-Cookies hybrid Talkative,Energetic,Euphoric,Happy,Uplifted Pineapple,Sweet,Flowery Pineapple Cookies by Calyx Gardens is an introspective Platinum Girl Scout Cookies cross with flavor to spare. It was created by breeding the Calyx Garden Pineapple OG Kush father (Poison OG x Purple Pineapple) with the long-lasting body-melter Platinum GSC. Relaxation and happiness creep across the body, gradually dissolving stress and depression as the consumer’s mood elevates. This strain's aroma is bright and buttery, exhibiting sweet notes from both its parents.  ",Pineapple Cookies hybrid talkative energetic euphoric happy Uplifted Pineapple Sweet Flowery Pineapple Cookies Calyx Gardens introspective Platinum Girl Scout Cookies cross flavor spare create breed Calyx Garden Pineapple OG Kush father Poison OG x Purple Pineapple long last body melter Platinum GSC relaxation happiness creep body gradually dissolve stress depression consumer ’s mood elevate strain aroma bright buttery exhibit sweet note parent  
1551,Pineapple-Diesel,hybrid,"Uplifted,Talkative,Happy,Euphoric,Giggly","Diesel,Pungent,Pineapple","A beloved choice for sativa connoisseurs, Pineapple Diesel can be succinctly defined as a psychoactive lift. A cross between hybrid Pineapple and sativa Sour Diesel, this is a social strain that provides powerful but clear cerebral effects. The aroma is equally diverse, with a citrus and diesel dual pungency. This energetic flower is optimal for daytime use and is an excellent choice for stress relief.",,,"Pineapple-Diesel hybrid Uplifted,Talkative,Happy,Euphoric,Giggly Diesel,Pungent,Pineapple A beloved choice for sativa connoisseurs, Pineapple Diesel can be succinctly defined as a psychoactive lift. A cross between hybrid Pineapple and sativa Sour Diesel, this is a social strain that provides powerful but clear cerebral effects. The aroma is equally diverse, with a citrus and diesel dual pungency. This energetic flower is optimal for daytime use and is an excellent choice for stress relief.  ",pineapple Diesel hybrid Uplifted talkative happy euphoric Giggly Diesel Pungent Pineapple beloved choice sativa connoisseur Pineapple Diesel succinctly define psychoactive lift cross hybrid Pineapple sativa Sour Diesel social strain provide powerful clear cerebral effect aroma equally diverse citrus diesel dual pungency energetic flower optimal daytime use excellent choice stress relief  
1552,Pineapple-Dog-Shit,hybrid,"Uplifted,Euphoric,Energetic,Focused,Happy","Pineapple,Sweet,Earthy","Pineapple Dog Shit is a hybrid strain that may not sound appetizing, but its elite parentage of Pineapple Punch and Chemdawg 4 is enough to draw connoisseurs of old school genetics. Its name is derived from its sour, tar-like aroma that could arguably be compared to canine byproduct, but one look at this hybrid’s knobby, dense, crystal-covered buds may convince you to push past its unconventional aroma. For those of you less interested in the novelty of Pineapple Dog Shit, we reassure you: the taste is a more pleasant blend of sweet tropical and citrus flavors.",,,"Pineapple-Dog-Shit hybrid Uplifted,Euphoric,Energetic,Focused,Happy Pineapple,Sweet,Earthy Pineapple Dog Shit is a hybrid strain that may not sound appetizing, but its elite parentage of Pineapple Punch and Chemdawg 4 is enough to draw connoisseurs of old school genetics. Its name is derived from its sour, tar-like aroma that could arguably be compared to canine byproduct, but one look at this hybrid’s knobby, dense, crystal-covered buds may convince you to push past its unconventional aroma. For those of you less interested in the novelty of Pineapple Dog Shit, we reassure you: the taste is a more pleasant blend of sweet tropical and citrus flavors.  ",Pineapple Dog Shit hybrid Uplifted euphoric energetic Focused Happy Pineapple Sweet Earthy Pineapple Dog Shit hybrid strain sound appetizing elite parentage Pineapple Punch Chemdawg 4 draw connoisseur old school genetic derive sour tar like aroma arguably compare canine byproduct look hybrid ’s knobby dense crystal cover bud convince push past unconventional aroma interested novelty Pineapple Dog Shit reassure taste pleasant blend sweet tropical citrus flavor  
1553,Pineapple-Express,hybrid,"Happy,Uplifted,Euphoric,Energetic,Relaxed","Pineapple,Sweet,Tropical","Pineapple Express combines the potent and flavorful forces of parent strains Trainwreck and Hawaiian. The smell is likened to fresh apple and mango, with a taste of pineapple, pine, and cedar. This hard-hitting sativa-dominant hybrid provides a long-lasting energetic buzz perfect for productive afternoons and creative escapes.",,,"Pineapple-Express hybrid Happy,Uplifted,Euphoric,Energetic,Relaxed Pineapple,Sweet,Tropical Pineapple Express combines the potent and flavorful forces of parent strains Trainwreck and Hawaiian. The smell is likened to fresh apple and mango, with a taste of pineapple, pine, and cedar. This hard-hitting sativa-dominant hybrid provides a long-lasting energetic buzz perfect for productive afternoons and creative escapes.  ",pineapple Express hybrid Happy Uplifted euphoric energetic Relaxed Pineapple Sweet Tropical Pineapple Express    combine potent flavorful force parent strain Trainwreck       Hawaiian smell liken fresh apple mango taste pineapple pine cedar hard hit sativa dominant    hybrid    provide long last energetic buzz perfect productive afternoon creative escape  
1554,Pineapple-Fields,sativa,"Creative,Uplifted,Happy,Relaxed,Euphoric","Sweet,Pineapple,Tropical","Pineapple Fields by Dynasty Seeds is an extremely odoriferous hybrid cross with a long lineage and even longer lasting effects. By crossing Kali Snapple (Snow Bud/Pineapple x Pre-2K Kali Mist) and Ms. Universe #10, Dynasty Seeds achieves a strain with a sweet terpene profile and energizing, clear-headed attributes. Known to produce a good yield over its 9-10 week grow cycle, Pineapple Fields exhibits purple leaves and chunky buds despite its sativa dominance. Enjoy Pineapple Fields throughout the day to elevate mood, curb depression, and stimulate motivation.   ",,,"Pineapple-Fields sativa Creative,Uplifted,Happy,Relaxed,Euphoric Sweet,Pineapple,Tropical Pineapple Fields by Dynasty Seeds is an extremely odoriferous hybrid cross with a long lineage and even longer lasting effects. By crossing Kali Snapple (Snow Bud/Pineapple x Pre-2K Kali Mist) and Ms. Universe #10, Dynasty Seeds achieves a strain with a sweet terpene profile and energizing, clear-headed attributes. Known to produce a good yield over its 9-10 week grow cycle, Pineapple Fields exhibits purple leaves and chunky buds despite its sativa dominance. Enjoy Pineapple Fields throughout the day to elevate mood, curb depression, and stimulate motivation.     ",Pineapple Fields sativa Creative Uplifted happy relaxed Euphoric Sweet Pineapple Tropical Pineapple Fields Dynasty Seeds extremely odoriferous hybrid cross long lineage longer lasting effect cross Kali Snapple Snow Bud Pineapple x Pre-2 K Kali Mist Ms. Universe 10 Dynasty Seeds achieve strain sweet terpene profile energizing clear head attribute know produce good yield 9 10 week grow cycle Pineapple Fields exhibit purple leave chunky bud despite sativa dominance enjoy Pineapple Fields day elevate mood curb depression stimulate motivation     
